glyph_name,ps_name,sort_design,sort_final,USV,in_docs,doc_name,doc_uni,frame_l,frame_r1,frame_r2
.notdef,.notdef,0,0,,,,,,,
space,space,1,1,0020,D,SPACE,,,,
numbersign,numbersign,2,2,0023,D,NUMBER SIGN,,,,
asterisk,asterisk,3,3,002A,D,ASTERISK,,,,
currency,currency,4,4,00A4,D,CURRENCY SIGN,,,,
section,section,5,5,00A7,D,SECTION SIGN,,,,
paragraph,paragraph,6,6,00B6,D,PILCROW SIGN,,,,
periodcentered,periodcentered,7,7,00B7,D,MIDDLE DOT,,,,
Delta,uni0394,8,8,0394,D,GREEK CAPITAL LETTER DELTA,,,,
dagger,dagger,9,9,2020,D,DAGGER,,,,
daggerdbl,daggerdbl,10,10,2021,D,DOUBLE DAGGER,,,,
bullet,bullet,11,11,2022,D,BULLET,,,,
triangularbullet,uni2023,12,12,2023,D,TRIANGULAR BULLET,,,,
referencemark,uni203B,13,13,203B,D,REFERENCE MARK,,,,
nabla,gradient,14,14,2207,D,NABLA,,,,
infinity,infinity,15,15,221E,D,INFINITY,,,,
pluscircle,circleplus,16,16,2295,D,CIRCLED PLUS,,,,
minuscircle,uni2296,17,17,2296,D,CIRCLED MINUS,,,,
multiplycircle,circlemultiply,18,18,2297,D,CIRCLED TIMES,,,,
fractioncircle,uni2298,19,19,2298,D,CIRCLED DIVISION SLASH,,,,
leftCeiling,uni2308,20,20,2308,D,LEFT CEILING,,,,
rightCeiling,uni2309,21,21,2309,D,RIGHT CEILING,,,,
leftFloor,uni230A,22,22,230A,D,LEFT FLOOR,,,,
rightFloor,uni230B,23,23,230B,D,RIGHT FLOOR,,,,
topLeftCorner,uni231C,24,24,231C,D,TOP LEFT CORNER,,,,
topRightCorner,uni231D,25,25,231D,D,TOP RIGHT CORNER,,,,
bottomLeftCorner,uni231E,26,26,231E,D,BOTTOM LEFT CORNER,,,,
bottomRightCorner,uni231F,27,27,231F,D,BOTTOM RIGHT CORNER,,,,
onecircle,uni2460,28,28,2460,D,CIRCLED DIGIT ONE,,,,
twocircle,uni2461,29,29,2461,D,CIRCLED DIGIT TWO,,,,
